 i0 tic0  idx2 ord1  per2  cnt2  mse2  mae2  mape2 mse3  rmse3 mae3  mape3 
0 duck 0_0  (1, 0, 0)   24   4   42312748.699999996   10979.5   0.602 8462549.739999998   2663.6728916849993 2195.9   0.1204 
1 duck 0_1  (1, 0, 0)   72   4   74683208.5   16001.0   0.883 14936641.7   3559.7698132482496 3200.2   0.1766 
2 duck 0_2  (1, 0, 0)   120   4   64055701.900000006   14758.3   0.8119999999999999 12811140.38   3397.09246416963 2951.66   0.1624 
3 duck 0_3  (1, 0, 0)   168   4   12793998.8   6802.700000000001   0.368 2558799.7600000002   1526.1287053012684 1360.5400000000002   0.0736 
4 duck 0_4  (1, 0, 0)   216   4   84230229.3   16838.199999999997   0.922 16846045.86   3879.709065697802 3367.6399999999994   0.1844 
5 duck 1_0  (0, 1, 0)   24   4   100638804.7   15087.0   0.8280000000000001 20127760.94   3729.873600440339 3017.4   0.16560000000000002 
6 duck 1_1  (0, 1, 0)   72   4   190783479.89999998   23400.399999999998   1.293 38156695.98   5263.416195727084 4680.08   0.2586 
7 duck 1_2  (0, 1, 0)   120   4   116954858.9   19749.2   1.08 23390971.78   4483.153673603798 3949.84   0.21600000000000003 
8 duck 1_3  (0, 1, 0)   168   4   20061847.8   8467.4   0.464 4012369.56   1911.255872914242 1693.48   0.09280000000000001 
9 duck 1_4  (0, 1, 0)   216   4   125425968.10000001   19920.9   1.0919999999999999 25085193.62   4674.630446136492 3984.1800000000003   0.21839999999999998 
10 duck 2_0  (0, 0, 1)   24   4   25691153.700000003   9475.1   0.52 5138230.74   2209.341405755814 1895.02   0.10400000000000001 
11 duck 2_1  (0, 0, 1)   72   4   32646307.8   10620.0   0.588 6529261.5600000005   2510.948425809641 2124.0   0.1176 
12 duck 2_2  (0, 0, 1)   120   4   38448538.300000004   11460.5   0.635 7689707.660000001   2677.235939581991 2292.1   0.127 
13 duck 2_3  (0, 0, 1)   168   4   12555748.3   6571.400000000001   0.35200000000000004 2511149.66   1468.6951412889625 1314.2800000000002   0.0704 
14 duck 2_4  (0, 0, 1)   216   4   69025403.60000001   15558.0   0.855 13805080.720000003   3670.0633426246814 3111.6   0.17099999999999999 
15 duck 3_0  (1, 0, 1)   24   4   32059372.400000002   9665.300000000001   0.529 6411874.48   2342.1393458496887 1933.0600000000002   0.1058 
16 duck 3_1  (1, 0, 1)   72   4   55230077.099999994   13978.599999999999   0.773 11046015.419999998   3148.278369000537 2795.72   0.15460000000000002 
17 duck 3_2  (1, 0, 1)   120   4   53859144.0   13450.300000000001   0.742 10771828.8   3120.601331017184 2690.0600000000004   0.1484 
18 duck 3_3  (1, 0, 1)   168   4   12225203.4   6590.099999999999   0.35600000000000004 2445040.68   1477.086115819257 1318.02   0.07120000000000001 
19 duck 3_4  (1, 0, 1)   216   4   76856357.7   16165.7   0.885 15371271.540000001   3755.570184188189 3233.1400000000003   0.177 
20 duck 4_0  (1, 1, 0)   24   4   107719123.5   16039.599999999999   0.877 21543824.7   3948.055227180008 3207.9199999999996   0.1754 
21 duck 4_1  (1, 1, 0)   72   4   182550464.79999998   22526.300000000003   1.2500000000000002 36510092.95999999   5041.985522449335 4505.26   0.25000000000000006 
22 duck 4_2  (1, 1, 0)   120   4   106937495.1   18587.9   1.019 21387499.02   4178.80184522724 3717.5800000000004   0.20379999999999998 
23 duck 4_3  (1, 1, 0)   168   4   20339769.2   8274.7   0.454 4067953.84   1887.8291279632344 1654.94   0.0908 
24 duck 4_4  (1, 1, 0)   216   4   109941939.6   18958.8   1.039 21988387.919999998   4415.190903547636 3791.7599999999998   0.20779999999999998 
25 duck 5_0  (0, 1, 1)   24   4   105028127.9   15693.6   0.8590000000000001 21005625.580000002   3842.234082434114 3138.7200000000003   0.1718 
26 duck 5_1  (0, 1, 1)   72   4   182552045.3   22853.200000000004   1.264 36510409.06   5148.6021782166945 4570.640000000001   0.2528 
27 duck 5_2  (0, 1, 1)   120   4   112530268.6   19335.1   1.058 22506053.72   4373.822987188204 3867.0199999999995   0.2116 
28 duck 5_3  (0, 1, 1)   168   4   19137945.4   8060.6   0.441 3827589.0799999996   1841.470770287228 1612.1200000000001   0.0882 
29 duck 5_4  (0, 1, 1)   216   4   121869594.49999999   19709.7   1.08 24373918.9   4624.85059115277 3941.94   0.21600000000000003 
30 duck 6_0  (1, 1, 1)   24   4   106835075.6   15945.900000000001   0.8710000000000001 21367015.119999997   3904.132515190282 3189.1800000000003   0.17420000000000002 
31 duck 6_1  (1, 1, 1)   72   4   179140312.9   22655.5   1.2510000000000001 35828062.58   5110.145036736198 4531.1   0.25020000000000003 
32 duck 6_2  (1, 1, 1)   120   4   109927999.4   19088.4   1.045 21985599.880000003   4303.5692402420855 3817.6800000000003   0.209 
33 duck 6_3  (1, 1, 1)   168   4   18884198.6   7982.2   0.438 3776839.72   1828.2005620085984 1596.44   0.0876 
34 duck 6_4  (1, 1, 1)   216   4   119438821.89999999   19579.0   1.0719999999999998 23887764.38   4589.426891929966 3915.8   0.21439999999999998 
